Identifier
AAPL
MSFT
FB
T
GOOGL
GOOG
VZ
V
INTC
CSCO
IBM
ORCL
MA
QCOM
ACN
TXN
AVGO
EMC
CRM
ADBE
PYPL
ADP
CTSH
YHOO
HPE
INTU
EBAY
AMAT
TEL
FISV
HPQ
GLW
EA
NVDA
ADI
FIS
ATVI
APH
CTL
PAYX
LVLT
SNDK
ADSK
SWKS
RHT
CTXS
LRCX
MSI
MU
XLNX
ADS
KLAC
LLTC
SYMC
GPN
MCHP
WDC
WU
HRS
XRX
AKAM
CA
TSS
VRSN
JNPR
STX
FFIV
NTAP
FTR
QRVO
FSLR
FLIR
CSRA
TDC
