,date,return_SPY,vol_SPY,RSI_SPY,label,return_AAPL,vol_AAPL,RSI_AAPL,return_MSFT,vol_MSFT,RSI_MSFT,return_XOM,vol_XOM,RSI_XOM,return_JNJ,vol_JNJ,RSI_JNJ,return_GE,vol_GE,RSI_GE,return_BRK-B,vol_BRK-B,RSI_BRK-B,return_AMZN,vol_AMZN,RSI_AMZN,return_WFC,vol_WFC,RSI_WFC,return_JPM,vol_JPM,RSI_JPM,return_T,vol_T,RSI_T
42,2000-03-03,0.01261829,1.15889214,48.5730051,1.0,-0.0167322,3.28304513,59.8812489,0.03199455,2.02543370,37.5294144,0.00657894,1.90697828,58.1479431,0.01712328,1.97186222,38.3704642,0.04471919,1.85210035,49.3843361,0.00680274,1.91827914,41.7915495,-0.0259865,4.23141550,34.4251043,-0.0263620,2.25197299,40.7718233,0.01863353,1.86554159,53.5460820,0.05813953,2.54442340,60.6031860
43,2000-03-06,0.00267022,1.16296136,49.4201841,0.0,0.00900905,3.02718242,60.6909171,0.01319261,2.02838689,39.9010208,-0.0326797,1.89181612,51.5311138,-0.0176767,1.98315230,36.1019907,0.01639344,1.94285909,52.0781859,-0.0202702,1.93313465,39.3633529,-0.0059288,4.17183842,34.0720896,0.00180505,2.20412441,41.0007049,0.01143292,1.78347846,55.9173375,-0.0206043,2.72297795,57.4165576
44,2000-03-07,-0.0057700,1.13855108,47.5908855,1.0,0.00347222,3.02113752,61.0203789,0.00130208,2.07041636,40.1457281,-0.0253378,1.95428245,47.1935656,-0.0334190,2.02400801,32.2846358,-0.0152328,1.97234667,49.4039007,0.00344828,1.98314811,39.9891876,0.03180914,4.07644409,37.7391332,0.0,2.18184471,41.0007049,0.00602853,1.75525322,57.1729359,-0.0224403,2.62320598,54.1460429
45,2000-03-08,-0.0252235,1.15420613,40.5632611,1.0,-0.0281759,2.86312746,56.8425822,-0.0240572,1.97497106,37.1334087,0.07452339,1.98169826,58.0854191,-0.0398936,2.07636752,28.5353604,-0.0518653,1.96397630,41.6761494,-0.0020618,1.92601488,39.7242700,-0.0250481,4.03095942,35.9876410,-0.0540540,2.13618261,36.1413621,-0.0322098,1.75278808,49.0807552,-0.0387374,2.65427551,49.0668405
46,2000-03-09,0.00572509,1.12064206,42.5834322,1.0,-0.0162767,2.85137964,54.5831848,0.01598934,1.96534268,40.2644497,0.00645161,2.17402570,58.9339623,0.04893813,1.97818582,37.7105304,0.00047973,1.97055213,41.7621839,-0.0185950,1.85603856,37.3274865,-0.0039525,3.99419430,35.7130323,0.04571428,2.20938081,42.0577450,-0.0247677,1.79853025,44.0805765,-0.0119402,2.59634997,47.6408418
47,2000-03-10,0.02140255,1.12823455,49.5292008,1.0,0.00672183,2.74690529,55.3594783,0.04459016,1.97119823,48.1447681,0.02564102,2.19305092,62.2279646,0.02376760,2.04692644,41.8092609,0.00431654,1.91330107,42.5832841,-0.0231578,1.89245691,34.5811934,0.06746031,3.94189334,43.5930496,-0.0382513,2.21051104,38.6807941,0.01587291,1.77264216,47.6689481,0.00453172,2.59550056,48.2482381
48,2000-03-13,-0.0249665,1.17963066,42.8741223,1.0,0.00359527,2.73332644,55.7975986,-0.0194601,2.03695612,45.2162817,-0.04375,2.24878123,54.0563063,-0.0421324,2.02953344,37.0451381,-0.0143266,1.90248161,40.5318798,0.04166666,1.96769823,42.5776548,-0.0483271,3.99979082,39.5960408,-0.0378787,2.23228381,35.7377214,-0.0296874,1.64589495,42.1363262,-0.0075187,2.57459807,47.2641261
49,2000-03-14,0.01897542,1.20630664,48.4066390,1.0,-0.0074210,2.72616479,54.6020970,0.01024327,2.04290490,47.0079109,-0.0179738,2.26208143,51.2111355,0.03141831,2.05554697,42.1186186,0.00484484,1.92080334,41.5427685,0.01931032,2.07339044,46.0087515,0.03222656,4.15129355,43.1579502,0.02165354,2.33697147,38.5089045,0.03703714,1.73960708,49.7408519,0.06060606,2.53725823,55.1461457
50,2000-03-15,-0.0172758,1.18290037,44.1361195,1.0,-0.0461455,2.52944965,47.7954194,-0.0411913,2.06006402,41.1239533,0.02745424,2.26470261,55.0342699,0.00609225,1.98253124,43.1061629,-0.0212148,1.78699064,38.4459696,-0.0040595,2.08253161,45.3829748,-0.0198675,4.02153594,41.4816065,-0.0134874,2.36091843,37.4035243,-0.0326086,1.74785015,44.0487270,-0.0257142,2.72338018,51.4215933
51,2000-03-16,0.03470319,1.14384601,52.9587909,1.0,0.01459461,2.58425848,49.8274102,0.01454064,2.16749240,43.6929037,0.01052631,2.15748862,56.4810140,0.10553633,1.99305641,56.9061698,0.05369445,1.85148816,48.6568339,0.11752720,2.08804103,61.6005922,-0.0386100,3.69438636,38.4204203,0.12109375,2.25905776,50.8583619,0.09069009,1.61244487,57.9809587,0.03079178,2.51373582,55.2213952
52,2000-03-17,0.02956751,1.22300088,59.0924344,1.0,0.02397449,2.52874072,53.1037248,-0.0071661,2.08271249,42.6899127,0.01682692,2.19007571,58.7877456,-0.0070422,2.34240576,55.8303202,0.03319319,1.95908582,54.0086494,0.03586626,2.47779753,65.3764936,0.06124497,3.80148155,45.0768882,0.06271777,2.62624526,56.6807955,0.05077262,1.89200068,63.8932397,0.03271692,2.61637511,59.0036924
53,2000-03-20,0.00728675,1.31197546,60.4997725,0.0,0.02809564,2.59418093,56.7532470,0.03674540,2.09439701,49.0963303,-0.0394011,2.23865795,51.7538438,0.00472813,2.34638676,56.4218202,0.01266957,2.04086355,55.9583212,-0.0005868,2.56732181,65.2593600,-0.0387890,3.35859070,41.8058690,0.00983606,2.74256879,57.5828440,0.00840336,2.04116181,64.8203206,-0.0055096,2.72543154,58.0848005
