#Feature,SGDClassifier,GaussianNB,RandomForestClassifier,SVC,SGDClassifier_preproccessed,GaussianNB_preproccessed,RandomForestClassifier_preproccessed,SVC_preproccessed
SPY_pol,0.50129403045803289,0.524978929318763,0.58472956870495241,0.50051804812834222,0.5001576668216694,0.524978929318763,0.58630769007207628,0.55948253313182983
SPY_subj,0.48837479655893973,0.43105527784236219,0.57110483027202974,0.51384125784701218,0.51602534294350144,0.43105527784236219,0.548310712624971,0.49070564984887238
SPY_prpr,0.5492995814926761,0.51373081841432222,0.53262758660776566,0.60965763775866078,0.47564519879097877,0.51373081841432222,0.55378908974657048,0.43702627295977675
SPY_nrpr,0.56408393396884438,0.54419757033248084,0.49297474424552429,0.50169146710067425,0.55164496628690995,0.54419757033248084,0.48582379097884215,0.43642757498256224
SPY_sdpr,0.55762322715647528,0.53603231806556617,0.58855934666356657,0.5491310160427807,0.46999825621948388,0.53603231806556617,0.58442004766333411,0.46115728900255748
VIX_pol,0.57389124622180898,0.50438996744943032,0.49397887119274592,0.53271477563357361,0.484045861427575,0.50438996744943032,0.48239362938851438,0.49881858870030227
VIX_subj,0.54211520576610095,0.54226197395954423,0.52050685887003023,0.53669786096256689,0.51813168449197866,0.54226197395954423,0.51666036968146944,0.45157666821669384
VIX_prpr,0.44043391071843752,0.43935421994884905,0.46851822250639386,0.43190682399441982,0.47167955126714717,0.43935421994884905,0.50833018484073467,0.51438473610788193
VIX_nrpr,0.55676223552662163,0.53964993606138101,0.48787127993489882,0.43550555103464311,0.47266478725877697,0.53964993606138101,0.48322337828411993,0.57696683910718438
VIX_sdpr,0.48397320390606835,0.5333454429202511,0.46328397465705651,0.43116281097419201,0.52800729481515929,0.5333454429202511,0.46124593117879564,0.4700258660776564
AAPL_pol,0.56362110555684719,0.53524689025807948,0.50657550569634968,0.49480135433620093,0.49627557544757028,0.53524689025807948,0.49512032085561497,0.48012889444315271
AAPL_subj,0.42588206231109044,0.5410892815624273,0.3943319867472681,0.48593059753545687,0.50393367821436863,0.5410892815624273,0.45896085212741228,0.47804725645198792
AAPL_prpr,0.5061279353638688,0.46032172750523132,0.44897625552197162,0.50524732620320845,0.51104612299465235,0.46032172750523132,0.47178199837247153,0.49361631016042784
AAPL_nrpr,0.53547939432690073,0.48874607649383861,0.4671275575447571,0.50069896535689373,0.48678287026272959,0.48874607649383861,0.42249476865845159,0.48698340502208792
AAPL_sdpr,0.5373713961869333,0.45542969658219024,0.49883602650546377,0.49190086607765637,0.43811758893280628,0.45542969658219024,0.45462101836782143,0.46404905835852139
