date,SPY,VIX,AAPL,MSFT,XOM,JNJ,GE,BRK.B,AMZN,WFC,JPM,T,SPDR S&P 500 ETF Trust,CBOE Volatility Index,Apple Inc.,Microsoft Corp.,Exxon Mobil Corp.,Johnson & Johnson,General Electric Co.,Berkshire Hathaway Inc. Cl B,Amazon.com Inc.,Wells Fargo & Co.,JPMorgan Chase & Co.,AT&T Inc.
2003/08/01,-86,0,0,0,0,0,-12,0,0,0,0,-4,-27,-11,-12,-24,-13,-25,-26,-2,-14,-20,-18,-7
2003/09/01,-66,0,0,0,0,0,-28,0,0,0,0,-21,-18,-28,-28,-41,-18,-27,-14,-34,-28,-10,-19,-36
2003/10/01,-37,0,0,0,0,0,-36,0,0,0,0,-20,-63,-47,-24,-20,-39,-3,-49,-70,-19,-35,-37,-27
2003/11/01,-53,0,0,0,0,0,-7,0,0,0,0,-39,1,-9,-18,-50,-22,-20,-10,-24,-24,-39,-26,-27
2003/12/01,-29,0,0,0,0,0,-8,0,0,0,0,-7,-10,7,-2,10,-12,-15,-33,-1,-17,3,3,-9
2004/01/01,-70,0,0,0,0,0,-9,0,0,0,0,-28,10,-1,-16,-24,-42,-22,-34,-22,-7,-20,-20,-17
2004/02/01,-36,0,0,0,0,0,-5,0,0,0,0,-20,-23,-40,-21,-36,0,-2,-38,-33,-16,-58,-61,-25
2004/03/01,-37,0,0,0,0,0,-2,0,0,0,0,-37,-25,-33,-25,16,-24,-52,-9,-9,-55,-59,-62,-52
2004/04/01,-9,0,0,0,0,0,-12,0,0,0,0,-57,-54,-27,-31,-28,-27,-13,-69,-56,-34,-43,-30,-46
2004/05/01,-37,0,0,0,0,0,-21,0,0,0,0,-9,-34,-25,-14,-25,-9,-5,-39,-20,-9,-48,-53,-12
2004/06/01,-37,0,0,0,0,0,-7,0,0,0,0,-35,-32,-13,-30,-49,1,-28,-39,-10,-31,-8,-27,-18
2004/07/01,-21,-1,0,0,0,0,8,0,0,0,0,-20,-24,-19,-19,-6,-20,-18,-15,-35,-25,2,-2,-30
2004/08/01,-49,0,0,0,0,0,-36,0,0,0,0,-36,-18,-75,-14,-12,-24,-23,-13,-40,-47,-23,-18,-49
2004/09/01,-79,0,0,0,0,0,-17,0,0,0,0,-29,-34,-60,-20,-41,-20,-29,-56,-40,-22,-21,-26,-35
2004/10/01,-65,0,0,0,0,0,-17,0,0,0,0,-31,-35,-15,-3,-29,-22,-15,-34,-43,-6,-3,-8,-23
2004/11/01,-27,0,0,0,0,0,-23,0,0,0,0,-11,-25,-77,-19,-39,-25,-41,-60,-18,-26,-7,-8,-20
2004/12/01,-75,-6,0,0,0,0,-16,0,0,0,0,-54,-35,-49,-59,3,0,-46,-57,-14,1,-19,-67,-1
2005/01/01,-31,0,0,0,0,0,0,0,0,0,0,2,-26,-28,-2,-23,6,-41,-16,-14,0,-10,-3,-5
2005/02/01,-13,0,0,0,0,0,-26,0,0,0,0,-14,-2,-26,-37,-18,-3,-36,-15,-44,-39,-8,-16,-44
2005/03/01,-50,0,0,0,0,0,-25,0,0,0,0,-46,-25,-22,-27,-38,-25,-35,-56,-37,-61,-39,-36,-61
2005/04/01,-12,0,0,0,0,0,-13,0,0,0,0,-21,-7,-26,13,-30,-12,-11,-14,-20,12,14,11,-3
2005/05/01,-2,-3,0,0,0,0,-25,0,0,0,0,-23,-36,-58,3,1,-22,-11,-43,-55,1,-15,-15,-1
2005/06/01,-54,0,0,0,0,0,-10,0,0,0,0,-58,-42,-70,-2,-15,-29,5,-6,-2,-6,-4,-4,-20
2005/07/01,-68,0,0,0,0,0,-7,0,0,0,0,-13,-20,-5,-15,-27,-42,-6,-26,-11,-7,-9,-8,-18
2005/08/01,-28,-5,0,0,0,0,-9,0,0,0,0,-7,-38,-99,-34,-19,-48,-42,-32,-43,2,-22,-63,-7
2005/09/01,-89,0,0,0,0,0,-12,0,0,0,0,-12,-29,-43,-48,-5,-41,-22,-40,-29,-27,-34,-27,-21
2005/10/01,-45,0,0,0,0,0,2,0,0,0,0,-10,-13,-36,-53,-33,-54,-65,-42,-22,-46,-26,-13,-11
2005/11/01,-31,0,0,0,0,0,-20,0,0,0,0,-16,-21,-70,-20,-10,-37,-7,-9,-41,-33,-34,0,-27
2005/12/01,-51,0,0,0,0,0,-4,0,0,0,0,-14,-6,-59,5,5,3,31,-3,-18,-4,-12,42,-9
2006/01/01,-71,0,0,0,0,0,-2,0,0,0,0,-39,-7,-26,-32,-61,-65,-43,-23,-77,-40,-36,-39,-39
2006/02/01,-79,-13,0,0,0,0,4,0,0,0,0,-16,-17,-38,-10,-23,-11,-46,-9,-12,-27,-22,-21,-3
2006/03/01,-73,0,0,0,0,0,9,0,0,0,0,-23,-20,-47,-52,-87,-78,-22,-14,-14,2,-18,-17,-24
2006/04/01,-31,0,0,0,1,0,-38,0,0,0,0,-4,1,0,-13,-27,-12,-8,-2,-8,-2,-1,-2,-2
2006/05/01,-9,-2,0,0,0,0,-5,0,0,0,0,-8,-14,-14,-15,-41,-31,-8,-17,-20,-12,-14,-19,-12
2006/06/01,-9,-2,0,0,0,-3,-6,0,0,0,0,-11,-18,-33,-20,-25,-17,-19,-14,-35,-23,-14,1,-16
2006/07/01,-18,0,0,0,0,0,-28,0,0,0,0,-4,-39,-10,-14,-12,-7,-15,-8,-5,-13,-8,-14,-13
2006/08/01,-3,0,0,0,0,0,-1,0,0,0,0,-20,-16,-7,7,3,8,20,-26,-25,-7,-18,-14,-25
2006/09/01,-25,0,0,0,0,0,-1,0,0,0,0,-9,-5,-12,-3,-23,-28,-5,-5,-7,-3,-13,-11,-4
2006/10/01,14,0,0,0,0,0,-14,0,0,0,0,-7,-2,-23,-18,-3,-5,-8,-3,-22,-33,-5,-5,-15
2006/11/01,-28,0,0,0,0,0,-5,0,4,0,0,-20,-6,-43,-18,-10,-13,-2,-21,-13,-29,-6,2,-29
2006/12/01,-29,0,0,0,0,0,-2,0,0,0,0,-1,-10,-13,-12,-43,2,-35,-11,-57,-6,-6,-5,-6
2007/01/01,-40,0,0,0,0,0,-9,0,0,0,0,-11,-24,-5,-10,5,-7,-27,-29,-16,-5,-14,-15,-19
2007/02/01,-16,-2,0,0,0,0,-11,0,0,0,0,-25,-23,-24,-1,-7,-23,2,-19,-16,-3,-15,-17,-30
2007/03/01,-46,-3,0,0,0,0,-15,0,0,0,0,-17,-11,-18,-9,0,7,-15,-10,-7,-9,-4,-4,-9
2007/04/01,32,-10,-2,0,0,0,-2,0,0,0,0,-19,2,-6,-12,-9,-14,-14,-17,-2,-6,-13,-15,-15
2007/05/01,-51,0,0,0,0,0,-22,0,0,0,0,-3,-26,-1,-1,-9,-13,-6,-22,-5,1,-13,-14,-3
2007/06/01,-4,0,0,0,0,0,-10,0,0,0,0,-3,-6,-10,-12,5,-3,-5,-4,-2,-4,-1,-5,-7
2007/07/01,-11,-3,0,0,0,0,-11,0,0,0,0,-3,-10,-17,-28,-1,-13,-3,-8,-28,-15,-28,-28,-9
2007/08/01,-4,3,0,0,0,0,-1,0,0,0,0,-5,-5,-7,-4,-21,-8,-19,-30,-25,-3,-17,-23,-7
2007/09/01,-8,-2,0,0,0,0,-8,0,0,0,0,-10,-5,-8,-7,2,-2,-2,-7,-7,-2,-13,-18,-8
2007/10/01,-8,0,0,0,0,0,-10,0,0,0,0,-19,-11,-21,-11,-12,-45,-33,-7,-20,-10,-40,-30,-19
2007/11/01,-14,-2,0,0,0,0,1,0,0,0,0,-10,-21,-10,-6,-19,-6,-10,-17,-15,-4,-23,-20,-7
2007/12/01,4,0,0,0,0,0,-18,0,0,0,0,5,-7,-9,11,15,-11,-17,-16,-7,11,-17,-23,1
2008/01/01,-11,-5,0,0,0,0,-16,0,0,0,0,-11,-11,-27,-1,-1,15,-7,4,4,-16,2,-3,-5
2008/02/01,-25,0,0,-2,0,0,-16,0,0,0,0,-14,-21,-44,-16,-35,-20,-18,-27,-23,-6,-14,-12,-14
2008/03/01,-15,0,0,0,0,0,-10,0,0,0,-9,-20,-26,-23,0,-16,-5,-7,-26,-6,0,-11,-16,-20
2008/04/01,-2,-8,0,-2,0,0,-14,0,0,0,0,-24,-12,-27,-10,-2,-10,-8,-11,-12,-12,-5,-11,-22
2008/05/01,1,0,0,0,0,0,-10,0,0,0,0,-2,15,-5,-8,-17,-26,-5,-15,-10,-11,-3,-2,-11
2008/06/01,-4,0,0,-2,0,0,-10,0,0,0,-14,-18,-6,-10,-5,-8,-12,-8,-14,-2,-7,-13,-5,-6
2008/07/01,-8,-9,0,0,0,0,-10,0,0,0,0,-11,-2,-18,-12,-5,-11,4,-3,-6,21,-13,-17,1
2008/08/01,-4,0,0,0,0,0,3,0,0,0,0,-14,-7,-5,-5,-14,-8,-2,-10,-12,-7,-1,1,-11
2008/09/01,-3,-6,0,0,0,0,-41,0,0,0,0,-17,-1,-37,3,3,-14,-23,-13,-6,20,-20,-23,-7
2008/10/01,-9,-27,0,0,0,0,-18,0,0,0,0,-31,-1,-29,-21,-29,-18,-28,-6,-7,-22,-4,-4,-27
2008/11/01,0,1,0,-1,0,0,-22,0,0,0,0,1,-7,-16,-9,-7,-11,-11,-5,-15,8,-14,-13,1
2008/12/01,-8,-4,0,0,0,0,-8,0,0,0,0,-7,-5,-15,-3,-23,-15,-18,-27,-4,-3,-19,-18,-3
2009/01/01,3,0,-1,0,0,-1,-11,0,0,0,0,-3,-6,-11,-3,-19,-27,1,-5,-21,-2,-5,-2,-10
2009/02/01,-9,0,0,0,0,0,-48,0,0,0,-1,-3,-11,-8,-18,-20,-15,-8,-9,-7,-17,-7,-19,-9
2009/03/01,-3,-3,0,0,0,0,-33,0,0,0,0,-1,5,-16,0,-12,-11,-13,-11,-8,-1,-35,-40,4
2009/04/01,-7,-3,0,0,0,0,-21,0,0,0,0,-17,-1,-9,-6,-11,-5,-15,-10,-25,12,-18,-15,-7
2009/05/01,-5,-9,2,0,0,0,-7,0,0,0,0,2,-23,-22,-10,-3,-7,3,-39,-6,-11,-12,-14,-2
2009/06/01,-6,-3,0,0,0,0,-26,0,0,0,0,3,-26,-9,-7,-12,-34,-2,-24,-21,-5,-14,-13,4
2009/07/01,-4,0,0,0,0,0,-18,0,0,0,1,-19,1,-5,-14,-21,-13,-8,-5,-8,-22,-15,-4,-25
2009/08/01,-19,0,0,0,0,0,-13,0,0,0,0,-10,10,-14,-6,-6,-1,-1,-3,-5,-4,5,-1,-9
2009/09/01,-5,-2,0,0,0,0,-4,0,0,0,0,-10,-15,-13,-11,5,11,-1,-18,-16,-7,-4,-8,-21
2009/10/01,-4,-4,0,0,0,0,2,0,0,0,0,1,-2,-3,0,-20,-32,-14,-19,-21,-22,-17,-3,-1
2009/11/01,8,0,0,0,0,0,-14,0,-5,0,0,-8,-25,-16,-5,-11,-8,-7,-11,-7,-2,0,-9,-10
2009/12/01,-9,0,0,0,0,0,-18,0,0,0,0,-6,2,-13,-10,-4,0,-15,-5,3,-17,-3,-5,-8
